seed,gen,best_ppf,best_fit,sigma,h_sens_pop,div,stag,n_al_global
42,48,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6715935923756566,1.0,13,64
42,49,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6640789834155993,1.0,14,64
42,50,1.9685698747634888,339.8799133300781,0.04102092981338501,1.713457649576152,1.0,0,64
42,51,1.9685698747634888,339.8799133300781,0.04102092981338501,1.7062229019745287,1.0,1,64
42,52,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6839982657281294,1.0,2,64
42,53,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6548597873240984,1.0,3,64
42,54,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6534998735914836,1.0,4,64
42,55,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6913456274427832,1.0,5,64
42,56,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6708335549508673,1.0,6,64
42,57,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6910050466423638,1.0,7,64
42,58,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6899221778575393,1.0,8,64
42,59,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6931673565492218,1.0,9,64
42,60,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6680178363220788,1.0,10,64
42,61,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6710053126748403,1.0,11,64
42,62,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6760585956884049,1.0,12,64
42,63,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6621513478821297,1.0,13,64
42,64,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6772195043964617,1.0,14,64
42,65,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6873170147896903,1.0,0,64
42,66,1.9685698747634888,339.8799133300781,0.04102092981338501,1.7033619173834262,1.0,1,64
42,67,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6979273663228993,1.0,2,64
42,68,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6934163344630953,1.0,3,64
42,69,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6670764626702756,1.0,4,64
42,70,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6464802025125935,1.0,5,64
42,71,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6758243556262424,1.0,6,64
42,72,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6549169149213376,1.0,7,64
42,73,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6474164684908184,1.0,8,64
42,74,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6622352510294394,1.0,9,64
42,75,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6534599516482793,1.0,10,64
42,76,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6057633937664118,1.0,11,64
42,77,1.9685698747634888,339.8799133300781,0.04102092981338501,1.610238288345639,1.0,12,64
42,78,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6301916531755742,1.0,13,64
42,79,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6324700916001667,1.0,14,64
42,80,1.9685698747634888,339.8799133300781,0.04102092981338501,1.606084913424186,1.0,0,64
42,81,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6335778200745203,1.0,1,64
42,82,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6254961236438759,1.0,2,64
42,83,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6312209864661216,1.0,3,64
42,84,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6359709571663084,1.0,4,64
42,85,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6500813733657245,1.0,5,64
42,86,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6524665037567765,1.0,6,64
42,87,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6605043068098626,1.0,7,64
42,88,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6694092004966454,1.0,8,64
42,89,1.9685698747634888,339.8799133300781,0.04102092981338501,1.680284409564229,1.0,9,64
42,90,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6627054450050538,1.0,10,64
42,91,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6565376136865098,1.0,11,64
42,92,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6450899083254966,1.0,12,64
42,93,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6459798655442235,1.0,13,64
42,94,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6399013465226582,1.0,14,64
42,95,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6545961507558211,1.0,0,64
42,96,1.9685698747634888,339.8799133300781,0.04102092981338501,1.633545926799002,1.0,1,64
